Year,Title,Sequel,ReleaseDate,StoryLine,Runtime,SoundMix,Color,AspectRatio,MPAA,RateScore,NumRate,NumReview,NumCritic,ProductionDate,FilmingDate,gross,budget,critic,numrate,numreview,ratescore,nummon,day,daynum,budget_class,competition,ActorScore,ActorScore_budget,Country,BigSix,country_num,ThreeD,mpaa,gross_ind,NewBigSix
1995,Casper (1995),0,Release Date: 26 May 1995 (USA) See more Ф_,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away. Ultimately, it is up to Harvey and Kat to help the ghosts cross over to the other side. Written by Joshua Davis <xtnb64a@prodigy.com>",100 min,Sound Mix: DTS | Dolby SR,Color,Aspect Ratio: 1.85 : 1,Rated PG for mild language and thematic elements,6,"79,232",88 user,25 critic,null,27 January 1994 - 8 June ,112842726.6,56236797.5,25,79232,88,6,5,26,176,5,40,9.060655067,6.246444742,USA,0,1,0,PG,9,1
1995,Se7en (1995),0,Release Date: 22 September 1995 (USA) See more Ф_,"A film about two homicide detectives' desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" sermonizes to Detectives Sommerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Sommerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills scoffs at his efforts to get inside the mind of a killer... Written by Mark Fleetwood <mfleetwo@mail.coin.missouri.edu>",127 min,Sound Mix: DTS | Dolby Digital,Color,Aspect Ratio: 2.35 : 1,"Rated R for grisly afterviews of horrific and bizarre killings, and for strong language",8.6,"930,951","1,050 user",203 critic,null,12 December 1994 - 10 March ,112614910.2,37116286.35,203,930951,1050,8.6,9,22,292,4,46,8.579230641,5.803904453,USA,0,1,0,R,9,0
1995,The Usual Suspects (1995),0,Release Date: 15 September 1995 (USA) See more Ф_,"Following a truck hijack in New York, five conmen are arrested and brought together for questioning. As none of them are guilty, they plan a revenge operation against the police. The operation goes well, but then the influence of a legendary mastermind criminal called Keyser Sк_ze is felt. It becomes clear that each one of them has wronged Sк_ze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion, but the real question arises now: Who actually is Keyser Sк_ze? Written by Soumitra",106 min,Sound Mix: Dolby Digital,Color,Aspect Ratio: 2.35 : 1,Rated R for violence and a substantial amount of strong language,8.6,"679,461","1,165 user",158 critic,null,13 June 1994 - 29 July ,1259704.264,6748415.7,158,679461,1165,8.6,9,15,285,1,36,-1.127333689,-1.886622594,USA,0,1,0,R,2,0
1995,Halloween: The Curse of Michael Myers (1995),1,Release Date: 29 September 1995 (USA) See more Ф_,"Six years ago, Michael Myers terrorized the town of Haddonfield, Illinois. He and his niece, Jamie Lloyd, have disappeared. Jamie was kidnapped by a bunch of evil druids who protect Michael Myers. And now, six years later, Jamie has escaped after giving birth to Michael's child. She runs to Haddonfield to get Dr. Loomis to help her again. Meanwhile, the family that adopted Laurie Strode is living in the Myers house and are being stalked by Myers. It's the curse of Thorn that Michael is possessed by that makes him kill his family. And it's up to Tommy Doyle, the boy from Halloween, and Dr. Loomis, to stop them all. Written by Jason Mechalek",87 min,Sound Mix: Ultra Stereo,Color,Aspect Ratio: 1.85 : 1,"Rated R for strong horror violence, and some sexuality",4.9,"19,470",328 user,105 critic,null,28 October 1994 - 5 December ,16990668.42,5623679.75,105,19470,328,4.9,9,29,299,1,60,-1.450700255,5.657837206,USA,0,1,0,R,4,0
1995,GoldenEye (1995),0,Release Date: 17 November 1995 (USA) See more Ф_,"When a deadly satellite weapon system falls into the wrong hands, only Agent 007 can save the world from certain disaster. Armed with his license to kill, Bond races to Russia in search of the stolen access codes for ""Goldeneye,"" an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon. Written by Robert Lynch <docrlynch@yahoo.com>",130 min,Sound Mix: DTS | Dolby Digital,Color,Aspect Ratio: 2.35 : 1,"Rated PG-13 for a number of sequences of action/violence, and for some sexuality",7.2,"186,512",400 user,132 critic,null,16 January 1995 - 6 June ,112393959.2,65234685.1,132,186512,400,7.2,11,17,347,5,47,7.248680512,1.762771521,USA,0,1,0,PG-13,9,0
1995,Clueless (1995),0,Release Date: 21 July 1995 (USA) See more Ф_,"Cher, a high school student in Beverly Hills, must survive the ups and downs of adolescent life. Her external demeanor at first seems superficial, but rather it hides her wit, charm, and intelligence which help her to deal with relationships, friends, family, school, and the all-important teenage social life. Written by Michael Kaminsky <kaminsky@ucsee.eecs.berkeley.edu>",97 min,Sound Mix: Dolby Digital,Color,Aspect Ratio: 1.85 : 1,Rated PG-13 for sex related dialogue and some teen use of alcohol and drugs,6.8,"111,526",245 user,87 critic,null,21 November 1994 - 7 February ,55565344.76,13496831.4,87,111526,245,6.8,7,21,231,2,40,1.483862307,8.622863587,USA,1,1,0,PG-13,7,1
1995,Braveheart (1995),0,Release Date: 24 May 1995 (USA) See more Ф_,"William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce. Written by Anonymous",178 min,Sound Mix: DTS | Dolby Digital,Color,Aspect Ratio: 2.35 : 1,Rated R for brutal medieval warfare,8.4,"675,922","1,046 user",128 critic,6 June 1994 -  November ,6 June 1994 - 28 October ,85041223.32,80980988.4,128,675922,1046,8.4,5,24,174,5,45,8.594625398,1.183285404,USA,0,1,0,R,8,0
1995,Heat (1995),0,Release Date: 15 December 1995 (USA) See more Ф_,"Hunters and their prey--Neil and his professional criminal crew hunt to score big money targets (banks, vaults, armored cars) and are, in turn, hunted by Lt. Vincent Hanna and his team of cops in the Robbery/Homicide police division. A botched job puts Hanna onto their trail while they regroup and try to put together one last big 'retirement' score. Neil and Vincent are similar in many ways, including their troubled personal lives. At a crucial moment in his life, Neil disobeys the dictum taught to him long ago by his criminal mentor--'Never have anything in your life that you can't walk out on in thirty seconds flat, if you spot the heat coming around the corner'--as he falls in love. Thus the stage is set for the suspenseful ending.... Written by Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",170 min,Sound Mix: Dolby Digital | SDDS,Color,Aspect Ratio: 2.35 : 1,Rated R for violence and language,8.3,"400,088",872 user,162 critic,null,21 February 1995 - 19 July ,75847693.52,67484157,162,400088,872,8.3,12,15,375,5,53,9.657252482,0.351266866,USA,1,1,0,R,8,1
1995,Toy Story (1995),0,Release Date: 22 November 1995 (USA) See more Ф_,"A little boy named Andy loves to be in his room, playing with his toys, especially his doll named ""Woody"". But, what do the toys do when Andy is not with them, they come to life. Woody believes that he has life (as a toy) good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips. Written by John Wiggins",81 min,Sound Mix: Dolby Digital,Color,Aspect Ratio: 1.85 : 1,G,8.3,"558,907",358 user,162 critic,1992 -  ,1992 -  ,33905056.11,33742078.5,162,558907,358,8.3,11,22,352,4,39,-0.848998869,-1.498811831,USA,1,1,0,G,6,1
1995,Casino (1995),0,Release Date: 22 November 1995 (USA) See more Ф_,"This Martin Scorsese film depicts the Janus-like quality of Las Vegas--it has a glittering, glamorous face, as well as a brutal, cruel one. Ace Rothstein and Nicky Santoro, mobsters who move to Las Vegas to make their mark, live and work in this paradoxical world. Seen through their eyes, each as a foil to the other, the details of mob involvement in the casinos of the 1970's and '80's are revealed. Ace is the smooth operator of the Tangiers casino, while Nicky is his boyhood friend and tough strongman, robbing and shaking down the locals. However, they each have a tragic flaw--Ace falls in love with a hustler, Ginger, and Nicky falls into an ever-deepening spiral of drugs and violence. Written by Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",178 min,Sound Mix: DTS-Stereo | DTS,Color,Aspect Ratio: 2.35 : 1,"Rated R for strong brutal violence, pervasive strong language, drug use and some sexuality",8.2,"305,077",530 user,129 critic,null,14 September 1994 - 25 January ,47731881.67,58486269.4,129,305077,530,8.2,11,22,352,5,39,2.294964017,-1.521944752,USA,0,1,0,R,7,1
